Model,MSE,R2
Quadratic w/ Interactions,14338.409878206896,0.5657798690572671
Polynomial (d=4),14474.126525633437,0.5616698665592752
Polynomial (d=3),14529.974234254509,0.5599785911977617
Polynomial (d=2),16387.007412873812,0.503740751937031
Linear Regression,19794.641664329363,0.4005449719697609
